PostCommentID,Post Created-Time,Post Keyword,Post Message,Post Attachment,Comment Created-Time,Comment UserName,Comment UserID,Comment Message
121580125458_10158406289000459_10158406687680459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T10:45:30+0000,Giesela Timm,624366387768078_,Bezüge streichen
121580125458_10158406289000459_10158406706755459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T10:53:39+0000,Ruth Kornhardt,1044337942343208_,Berlin eventuell mal schauen im Tiergarten ?
121580125458_10158406289000459_10158406711595459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T10:55:04+0000,Ole Matthes,1284288531634649_,Verarschung 3.0
121580125458_10158406289000459_10158406715495459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T10:56:41+0000,Kristina Hurcks,10211657480260866_,Oder die sind schon längst rekrutiert worden...
121580125458_10158406289000459_10158406914425459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T11:38:05+0000,Simon Weiher,306362933127812_,
121580125458_10158406289000459_10158406961055459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T11:48:30+0000,Juli Zimmermann,1785868638330358_,Ich kann wegen ständig eingeblendeter Werbung den Artikel nicht lesen.  Aber die Kommentare hier sind dennoch voll daneben.
121580125458_10158406289000459_10158406999395459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T11:57:23+0000,Margitt Klages,600224970162329_,"Wie kann man denn in Deutschland einfach verschwinden? Es gibt doch eine Meldepflicht. Man sollte doch schon wissen, wer sich wo aufhält. Bei uns schlampen die Behörden ja leider nicht so."
121580125458_10158406289000459_10158407003310459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T11:58:16+0000,Thomas Meier,1175026972614603_,Ene mene Miste die sind auf der Piste! Pennt weiter liebe Politiker
121580125458_10158406289000459_10158407011480459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T11:59:59+0000,Chrissy Hase,1740908309569716_,Machen sich ein schönes Leben unter falscher Identität ?
121580125458_10158406289000459_10158407042290459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T12:08:52+0000,Axel Meyer,205459806628488_,Schwund ist eben überall !!!
121580125458_10158406289000459_10158407234505459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T13:06:18+0000,Sarah Miller,131920520684769_,Abgehauen weil sie gar nicht minderjährig waren und vielleicht auch Terroristen unter ihnen.  Bei dieser schlampigen Regierung auch nicht gerade verwunderlich. ?
121580125458_10158406289000459_10158407542330459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T14:29:41+0000,Michael Minx,1310843849008722_,"Huchhhh, so whattttt?????"
121580125458_10158406289000459_10158407621350459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T14:51:31+0000,Henry Derbyshire,303479826747555_,Also ich habe noch keinen der Flüchtlinge vermisst
121580125458_10158406289000459_10158407634960459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T14:56:12+0000,Leon Meier,327403004340997_,Sollen die doch gehn
121580125458_10158406289000459_10158407700480459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T15:14:31+0000,Lutz Weiser,10207896440905702_,Was für eine Betreuung ? Gibt es keine Aufsicht für diese Jugendlichen?
121580125458_10158406289000459_10158407939415459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T16:15:39+0000,Michael Fritschen,1764286340498557_,UND..............wo sind die Eltern????????
121580125458_10158406289000459_10158407972815459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T16:25:36+0000,Karsten Witteck,1021459344655735_,Erst einladen und dann nicht rund um die Uhr auf sie aufpassen. Das geht wirklich nicht.
121580125458_10158406289000459_10158408055085459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T16:43:44+0000,Miriam Rathje,10206157110007133_,Nelson Escobar
121580125458_10158406289000459_10158408099600459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T16:50:22+0000,Maria Grazia,10211747097581782_,"echt eine Schande, genauso wie die dumme Kommentare!"
121580125458_10158406289000459_10158409316750459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T21:41:31+0000,Torsten Michael Hahn,654375898068552_,"Da kommt Freude auf!   Tausende sind in Deutschland verschwunden, was machen die?   Ostereier suchen."
121580125458_10158406289000459_10158409644380459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T23:03:46+0000,Michaela Brugger,10209269155740573_,Minderjährig mit 27?
121580125458_10158406289000459_10158413609855459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-12T15:31:37+0000,Stephan Gross,1112240245555392_,"Vielleicht mal in den Lokalen am und um den Hansaplatz , in den Lokalen der Kinderschänder schauen , wo die Wache St Georg seit ca 10 Jahren Erkenntnisse sammelt !"
121580125458_10158406289000459_10158413769240459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-12T16:10:13+0000,Alexander Rohr,1293199960739390_,Deutschland verkommt langsam und sicher zur Bananenrepublik!
121580125458_10158406289000459_10158417448815459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-13T06:59:04+0000,Elisabeth Maier,1842529765981878_,Deutschland ist eine Bananrepublik seit 2 Jahren
121580125458_10158406289000459_10158417911860459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-13T09:06:17+0000,Rubia Boetticher,384683841879394_,"Deutschland ist schon viel länger eine Bananenrepublik. Das hat aber  nichts, rein gar nichts mit Flüchtlingen zu tun."
121580125458_10158400640280459_10158400901015459,2017-04-10T08:15:40+0000,Abschiebung,Die Situation vor den Geschäften in der Innenstadt hat sich laut Bezirksamt entspannt. Kontrollen gehen weiter. Wann die Abschiebung droht.,Weckdienst für Obdachlose in der City ist erfolgreich,2017-04-10T09:52:17+0000,Ellen Schuttrich,1276064462436536_,"Wurde auch Zeit! Ich habe selber miterlebt wie sich um Saturn herum, um die Schlafplätze gekloppt und geschrien wurde .?"
121580125458_10158400640280459_10158400934325459,2017-04-10T08:15:40+0000,Abschiebung,Die Situation vor den Geschäften in der Innenstadt hat sich laut Bezirksamt entspannt. Kontrollen gehen weiter. Wann die Abschiebung droht.,Weckdienst für Obdachlose in der City ist erfolgreich,2017-04-10T10:08:05+0000,Gerhild Koeplin,348548092185766_,
121580125458_10158400640280459_10158401046010459,2017-04-10T08:15:40+0000,Abschiebung,Die Situation vor den Geschäften in der Innenstadt hat sich laut Bezirksamt entspannt. Kontrollen gehen weiter. Wann die Abschiebung droht.,Weckdienst für Obdachlose in der City ist erfolgreich,2017-04-10T10:54:18+0000,Monika Claußen,1235780246483523_,Sollte immer gemacht werden.???
121580125458_10158400640280459_10158401091715459,2017-04-10T08:15:40+0000,Abschiebung,Die Situation vor den Geschäften in der Innenstadt hat sich laut Bezirksamt entspannt. Kontrollen gehen weiter. Wann die Abschiebung droht.,Weckdienst für Obdachlose in der City ist erfolgreich,2017-04-10T11:07:28+0000,Michael Fritschen,1764286340498557_,Frage mich wie die geweckt werden...........
121580125458_10158400640280459_10158401354530459,2017-04-10T08:15:40+0000,Abschiebung,Die Situation vor den Geschäften in der Innenstadt hat sich laut Bezirksamt entspannt. Kontrollen gehen weiter. Wann die Abschiebung droht.,Weckdienst für Obdachlose in der City ist erfolgreich,2017-04-10T11:48:07+0000,Axel Meyer,205459806628488_,“Geiler“ Service !! :-)
121580125458_10158400640280459_10158401373805459,2017-04-10T08:15:40+0000,Abschiebung,Die Situation vor den Geschäften in der Innenstadt hat sich laut Bezirksamt entspannt. Kontrollen gehen weiter. Wann die Abschiebung droht.,Weckdienst für Obdachlose in der City ist erfolgreich,2017-04-10T11:51:54+0000,Manuela Kellner,10157875164795335_,"Wecken mit Polizei Eskorte ? Dafür ist wohl Geld da, für mehr Notunterkünfte für Obdachlose aber nicht ?"
121580125458_10158400640280459_10158401460915459,2017-04-10T08:15:40+0000,Abschiebung,Die Situation vor den Geschäften in der Innenstadt hat sich laut Bezirksamt entspannt. Kontrollen gehen weiter. Wann die Abschiebung droht.,Weckdienst für Obdachlose in der City ist erfolgreich,2017-04-10T12:09:37+0000,Jo Fuss,712974475535792_,?
121580125458_10158400640280459_10158401898505459,2017-04-10T08:15:40+0000,Abschiebung,Die Situation vor den Geschäften in der Innenstadt hat sich laut Bezirksamt entspannt. Kontrollen gehen weiter. Wann die Abschiebung droht.,Weckdienst für Obdachlose in der City ist erfolgreich,2017-04-10T14:08:34+0000,Marek Damarek,1815050612096629_,"Es kommen noch mehr Bettler aus Georgien und Ukraine, die dürfen nun Visa frei reisen."
121580125458_10158400640280459_10158403668770459,2017-04-10T08:15:40+0000,Abschiebung,Die Situation vor den Geschäften in der Innenstadt hat sich laut Bezirksamt entspannt. Kontrollen gehen weiter. Wann die Abschiebung droht.,Weckdienst für Obdachlose in der City ist erfolgreich,2017-04-10T20:16:04+0000,Hürriyet Öter,1284634688266805_,"In der Amsinck str, ist riesengroße Plastik Zelt Stadt auf der grüne Wiese entstanden,  zur Zeit hausen da mehr als 50 Personen bzw. Bettler    Mafia aus Rumänien. Da kümmert sich niemand darum,  Wo sind die Medien und Die Polizei??"
121580125458_10158400640280459_10158405604785459,2017-04-10T08:15:40+0000,Abschiebung,Die Situation vor den Geschäften in der Innenstadt hat sich laut Bezirksamt entspannt. Kontrollen gehen weiter. Wann die Abschiebung droht.,Weckdienst für Obdachlose in der City ist erfolgreich,2017-04-11T04:41:14+0000,Mohammed Rahim,1359284960748167_,"Einfach mal Geld für den G20 Gipfel nehmen und in ein neues obdachlosen Quarteer investieren. ..bzw wenn eins vorhanden ist, dann vergrößern."
121580125458_10158397356795459_10158397364800459,2017-04-09T18:59:05+0000,Grenze,Hamburgs Großveranstaltungen bringen die freiwilligen Retter im Umland an ihre Grenzen. Ist der Ironman nun in Gefahr?,Feuerwehr will Ironman-Events nicht mehr absichern,2017-04-09T19:01:16+0000,Basti Totti,282196655511789_,Gibt wichtigeres als diesen quatsch (ironman)
121580125458_10158397356795459_10158397445545459,2017-04-09T18:59:05+0000,Grenze,Hamburgs Großveranstaltungen bringen die freiwilligen Retter im Umland an ihre Grenzen. Ist der Ironman nun in Gefahr?,Feuerwehr will Ironman-Events nicht mehr absichern,2017-04-09T19:12:52+0000,Jürgen Albiez,10211036069401182_,"Wie weit kann man ehrenamtlich tätige fordern, bei all dem was den Freiwilligen abgefordert wird muss man auch erkennen was Zuviel ist! Alles in allem verständlich, was all die Frauen und Männer für Hamburg machen ist mehr als nur Beachtlich!"
121580125458_10158397356795459_10158397455550459,2017-04-09T18:59:05+0000,Grenze,Hamburgs Großveranstaltungen bringen die freiwilligen Retter im Umland an ihre Grenzen. Ist der Ironman nun in Gefahr?,Feuerwehr will Ironman-Events nicht mehr absichern,2017-04-09T19:14:12+0000,Holger Alpin,1797189337172455_,Sicherheit gibt nur die Feuerwehr und nicht irgendwelche Sicherheitsdienste?Hier geht mal wieder Kommerz vor Sicherheit?
121580125458_10158397356795459_10158397854855459,2017-04-09T18:59:05+0000,Grenze,Hamburgs Großveranstaltungen bringen die freiwilligen Retter im Umland an ihre Grenzen. Ist der Ironman nun in Gefahr?,Feuerwehr will Ironman-Events nicht mehr absichern,2017-04-09T20:03:56+0000,Chris Setzepfand,1291114380943643_,"Achso Herr Alpin, ein Sanitätsdienst würde da sicherlich nicht auch reichen?"
121580125458_10158397356795459_10158398027445459,2017-04-09T18:59:05+0000,Grenze,Hamburgs Großveranstaltungen bringen die freiwilligen Retter im Umland an ihre Grenzen. Ist der Ironman nun in Gefahr?,Feuerwehr will Ironman-Events nicht mehr absichern,2017-04-09T20:45:17+0000,Günther Jacob,182375108901493_,wie der Begriff schon sagt: FREIWILLIGE Retter. Ich verstehe die Jungs.
121580125458_10158397356795459_10158398120395459,2017-04-09T18:59:05+0000,Grenze,Hamburgs Großveranstaltungen bringen die freiwilligen Retter im Umland an ihre Grenzen. Ist der Ironman nun in Gefahr?,Feuerwehr will Ironman-Events nicht mehr absichern,2017-04-09T21:14:01+0000,Timo Essner,1362569590464307_,Warum brauchen die Ironmen extra Sicherheit? Das ist doch wie ... Schwimmflügel für Jesus!
121580125458_10158397356795459_10158398140035459,2017-04-09T18:59:05+0000,Grenze,Hamburgs Großveranstaltungen bringen die freiwilligen Retter im Umland an ihre Grenzen. Ist der Ironman nun in Gefahr?,Feuerwehr will Ironman-Events nicht mehr absichern,2017-04-09T21:20:24+0000,Phillip Schymanski,10205846188512348_,"Die freiwillige Feuerwehren machen es nicht mehr, weil sie es nicht einsehen, das sie dafür kein Geld bekommen haben. Und zur Absicherung, die Feuerwehr hat nur die Straße gesperrt. Rettung hat schon immer primär das DRK übernommen."
121580125458_10158397356795459_10158399487300459,2017-04-09T18:59:05+0000,Grenze,Hamburgs Großveranstaltungen bringen die freiwilligen Retter im Umland an ihre Grenzen. Ist der Ironman nun in Gefahr?,Feuerwehr will Ironman-Events nicht mehr absichern,2017-04-10T03:21:07+0000,Klaus Peterstorfer,241070526325054_,"Sanitätsdienst ist kostenpflichtig, und immer Kohle scheffeln und auf Freiwillige hoffen ist schmutzig!"
121580125458_10158397356795459_10158400206400459,2017-04-09T18:59:05+0000,Grenze,Hamburgs Großveranstaltungen bringen die freiwilligen Retter im Umland an ihre Grenzen. Ist der Ironman nun in Gefahr?,Feuerwehr will Ironman-Events nicht mehr absichern,2017-04-10T05:53:32+0000,La Be,1407505892643575_,"Ich will sehen, dass du so viele Rettungsdienstler zusammenbekommst und dann noch die Rettungswagen besetzen kannst, die eh al"
121580125458_10158397356795459_10158400708005459,2017-04-09T18:59:05+0000,Grenze,Hamburgs Großveranstaltungen bringen die freiwilligen Retter im Umland an ihre Grenzen. Ist der Ironman nun in Gefahr?,Feuerwehr will Ironman-Events nicht mehr absichern,2017-04-10T08:49:36+0000,Ralf Behrens-Grünhage,1323921211008237_,"Als Ortsbrandmeister der Freiwilligen Feuerwehr Buchholz ist es eine Erleichterung diese Absperrmassnahmen nicht mehr leisten zu müssen!!! Die Einzelbelastung der Freiwilligen Feuerwehrkameradinnen und Kameraden war in den vergangenen Jahren sehr hoch - wir wurden von einigen Bürgern angepöbelt und teilweise handgreiflich angegangen und alles für Lau !!! Man kann aus den Äußerungen der Veranstaltern erkennen,  dass die Feuerwehren die billigen Arbeitskräfte sind - Frechheit. Danke an die Bürgermeister  der betroffenen Städte und Gemeinden - danke an den Landrat.  Für die Bürgerinnen und Bürger der Stadt Buchholz sind wir während dieser Veranstaltung natürlich uneingeschränkt einsatzbereit !!!"
121580125458_10158397356795459_10158402049090459,2017-04-09T18:59:05+0000,Grenze,Hamburgs Großveranstaltungen bringen die freiwilligen Retter im Umland an ihre Grenzen. Ist der Ironman nun in Gefahr?,Feuerwehr will Ironman-Events nicht mehr absichern,2017-04-10T14:49:07+0000,Theresa Jakob,2040764232816998_,"Ironmann GmbH auch Ausrichter des Marathon spart sich die Info aller Haushalte im Karoviertel durch Hausverteilung indem an einige Haustüren aus,,eigenem Personal,, Infozettel geklebt werden, reine Kommerzielle Veranstaltung und die Kosten werden auf die Anwohner abgewälzt"
121580125458_10158397356795459_10158402454350459,2017-04-09T18:59:05+0000,Grenze,Hamburgs Großveranstaltungen bringen die freiwilligen Retter im Umland an ihre Grenzen. Ist der Ironman nun in Gefahr?,Feuerwehr will Ironman-Events nicht mehr absichern,2017-04-10T16:42:09+0000,Bart DownUnder,232127087266577_,"Richtig so, der Veranstalter steckt sich einen fetten Batzen Geld in die Tasche und die Arbeit sollen wieder andere auf Kosten des Steuerzahlers und engagierten Freiwilligen machen..."
121580125458_10158397356795459_10158403282870459,2017-04-09T18:59:05+0000,Grenze,Hamburgs Großveranstaltungen bringen die freiwilligen Retter im Umland an ihre Grenzen. Ist der Ironman nun in Gefahr?,Feuerwehr will Ironman-Events nicht mehr absichern,2017-04-10T19:25:06+0000,Andreas Bünz,1699788370351011_,Frag mal die Polizei in der Eventstadt Hamburg. Irgendwann langt es.
121580125458_10158378367255459_10158379038500459,2017-04-06T19:00:40+0000,"Schengen,Schengen","Ab morgen muss man sich auch als EU-Bürger auf längere Wartezeiten einstellen, wenn man den Schengenraum verlässt ? oder ihn (wieder) betreten möchte.",EU-Entscheid bringt ab Freitag schärfere Passkontrollen,2017-04-06T20:19:20+0000,Sunny von Rügenwald,1746331875692893_,Man kommt  wohl viel schneller durch die  Kontrolle ohne Pass und mit  einem Zauberwort......
121580125458_10158378367255459_10158379580800459,2017-04-06T19:00:40+0000,"Schengen,Schengen","Ab morgen muss man sich auch als EU-Bürger auf längere Wartezeiten einstellen, wenn man den Schengenraum verlässt ? oder ihn (wieder) betreten möchte.",EU-Entscheid bringt ab Freitag schärfere Passkontrollen,2017-04-06T21:44:31+0000,Can Alessandro Bella,1817660721838868_,lächerlich
121580125458_10158378367255459_10158379675355459,2017-04-06T19:00:40+0000,"Schengen,Schengen","Ab morgen muss man sich auch als EU-Bürger auf längere Wartezeiten einstellen, wenn man den Schengenraum verlässt ? oder ihn (wieder) betreten möchte.",EU-Entscheid bringt ab Freitag schärfere Passkontrollen,2017-04-06T22:08:03+0000,Josh Holsteen,1981993338694239_,"Na, dann fangt mal bei Bayern München an.  Die spielen ja unglaubliche Pässe."
121580125458_10158378367255459_10158382121730459,2017-04-06T19:00:40+0000,"Schengen,Schengen","Ab morgen muss man sich auch als EU-Bürger auf längere Wartezeiten einstellen, wenn man den Schengenraum verlässt ? oder ihn (wieder) betreten möchte.",EU-Entscheid bringt ab Freitag schärfere Passkontrollen,2017-04-07T05:58:41+0000,Dirk Röver,1194845673940479_,"Endlich....nur leider viel zu spät! Europa hat sich grundlegend verändert, leider. In alleiniger Verantwortung der Bundesregierung."
121580125458_10158378367255459_10158382133585459,2017-04-06T19:00:40+0000,"Schengen,Schengen","Ab morgen muss man sich auch als EU-Bürger auf längere Wartezeiten einstellen, wenn man den Schengenraum verlässt ? oder ihn (wieder) betreten möchte.",EU-Entscheid bringt ab Freitag schärfere Passkontrollen,2017-04-07T06:04:43+0000,Christian Röhl,1858244007777437_,Ich fühle mich so sicher. ?????
121580125458_10158378367255459_10158382777405459,2017-04-06T19:00:40+0000,"Schengen,Schengen","Ab morgen muss man sich auch als EU-Bürger auf längere Wartezeiten einstellen, wenn man den Schengenraum verlässt ? oder ihn (wieder) betreten möchte.",EU-Entscheid bringt ab Freitag schärfere Passkontrollen,2017-04-07T09:28:53+0000,Claudine Hamerick,10206740338905858_,Endlich !
121580125458_10158378367255459_10158386029105459,2017-04-06T19:00:40+0000,"Schengen,Schengen","Ab morgen muss man sich auch als EU-Bürger auf längere Wartezeiten einstellen, wenn man den Schengenraum verlässt ? oder ihn (wieder) betreten möchte.",EU-Entscheid bringt ab Freitag schärfere Passkontrollen,2017-04-07T19:29:51+0000,Kaya Perdek,10208049896918631_,Alan Alejandro R Q
121580125458_10158369666110459_10158369688130459,2017-04-05T09:46:54+0000,Flüchtling,"Beim neuen Verteilschlüssel konnten die Bürgerinitiativen mitreden. Einige Stadtteile haben mehr Flüchtlinge, als sie müssten.",So verteilt Hamburg künftig Flüchtlinge über die Stadt,2017-04-05T09:58:22+0000,Reinhard Rybicki,243222586153328_,Aus sicheren Drittstaaten kommen keine Flüchtlinge!
